,"Basic info","Some basic information about the space",Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,"Atmosphere","This section is about the atmosphere of the space. Students select different atmosphere's for their different moods and different tasks.",Would you describe the atmosphere of this space as… (place a X in all that apply),Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,,Which best describes the typical noise level in this space?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,"Features & facilities","This sections is about the features of the space and the facilities available. At different times students need different facilities and features from working spaces.Place a X in all that apply.",Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",,Is this space suitable for people who wish to work...,...in private?,...close to others?,...alongside friends?,...in a group?,,"Tagging","Finally type some tags below that might be used to describe this space. Try to choose tags that are distinct from the questions above. Please list them in a single field, separated by a comma.",Tags
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",The Snug,,Being a bar expect it to be busy at lunch and in the evenings. They also have cocktail making classes that can be earlier in the day so be aware of raucous parties. Early morning and mid afternoon will be quieter but with a buzz of work and people around you.,Anyone (public),Bar,,"67 Lensfield Road, Cambridge, CB2 1EN",,52.197949,0.122951,10:00-23:00 (Monday-Wednesday); 10:00-00:00 (Thursday-Saturday); 10:00-22:00 (Sunday),no,,no,http://www.thesnugbar.co.uk/cambridge-snug-bar/,01223 367684,@TheSnugTrumps,https://www.facebook.com/thesnugbar,,,,,x,,,,x,x,x,,Music playing,,,,,x,,,x,,,,x,,,x,,x,,,,x,,x,x,x,,3,,,no,yes,yes,yes,,,,"dark, busy"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Reading Room,,"The larger of the two seating areas in the College Library, the Reading Room has a variety of tables and chairs with natural light, seating for up to 60 individuals, a large part of the bookstock and a busy but studious atmosphere.",College,Library space,Trinity College Library,"Trinity Street, Cambridge, CB2 1TQ",First,52.206958,0.113082,Varies,yes,,no,http://www.trin.cam.ac.uk/library,01223 338488,@TrinCollLibCam,www.facebook.com/trin.coll.cam.lib,,,,x,,,,,x,,,,Whispers,,,X,,,,,,x,x,x,x,,,x,x,x,,,,,,x,,,,,,,no,yes,yes,yes,,,,"bottled water only, no bags, hot, computing facilities, printing facilities, bookshelves"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Lower Library,," The Lower Library is a quieter area of the College Library with less natural light and fewer seats (max. 10). Sound carries from the floor above and there is a certain amount of through traffic. However, it is less busy than the Reading Room and houses a large part of the bookstock.",College,Library space,Trinity College Library,"Trinity Street, Cambridge, CB2 1TQ",Ground,52.206958,0.113082,Varies,yes,,yes,http://www.trin.cam.ac.uk/library,01223 338488,@TrinCollLibCam,www.facebook.com/trin.coll.cam.lib,,,,x,,,,,x,,,,Whispers,,X,,,,,,,x,,x,x,,,x,x,,,,,,,x,,,,,,,yes,yes,yes,no,,,,"bottled water only, no bags, hot, computing facilities, printing facilities, near books, limited spaces"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Reading Room,,"The largest reading room in the UL, with seating for over 200.  The Reading Room houses the Library's main reference collection and has a busy but studious atmosphere.
",Anyone (public),Library space,University Library,"Cambridge University Library, West Road, Cambridge, CB3 9DR",First,52.205044,0.107724,09:00-19:00 (Monday-Friday); 09:00-17:00 (Saturday). Easter term: 09:00-21:00 (Monday-Friday); 09:00-17:00 (Saturday). Closed on Sunday.,yes,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",yes,"http://www.lib.cam.ac.uk/collections/departments/reading-room
",1223 333016,@theUL,https://www.facebook.com/cambridgeuniversitylibrary,,,,x,,x,,x,,,,,Whispers,,x,,,,,,,x,,x,x,,,x,x,x,,,,,,x,x,x,,4,,,yes,yes,yes,no,,,,"no large bags, reading lamps, standing workspace, e-legal deposit, subject experts, warm"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",North Front corridor,,Bookshelves work to form booths with large desks that seats two people. The desk faces the busy North Front walk way and is close to the Tea Room.,Anyone (public),Library space,University Library,"Cambridge University Library, West Road, Cambridge, CB3 9DR",First ,52.205096,0.10818,09:00-19:00 (Monday-Friday); 09:00-17:00 (Saturday). Easter term: 09:00-21:00 (Monday-Friday); 09:00-17:00 (Saturday). Closed on Sunday.,yes,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",yes,http://www.lib.cam.ac.uk,1223 333000,@theUL,https://www.facebook.com/cambridgeuniversitylibrary,,,,,x,x,,x,x,,,,Background chatter,,,x,,,,,,x,x,x,x,,,x,,x,x,,,,,x,x,x,,4,,,yes,yes,yes,no,,,,"no large bags, art, bottled water only"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",West 4,,"Part of a modern extension, this desk space is within a spacious area of shelving.  This is the only place within the UL to have computer chairs that are height adjustable. ",Anyone (public),Library space,University Library,"Cambridge University Library, West Road, Cambridge, CB3 9DR",Fourth,52.20521,0.107721,09:00-19:00 (Monday-Friday); 09:00-17:00 (Saturday). Easter term: 09:00-21:00 (Monday-Friday); 09:00-17:00 (Saturday). Closed on Sunday.,yes,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",yes,http://www.lib.cam.ac.uk,1223 333000,@theUL,https://www.facebook.com/cambridgeuniversitylibrary,,,,,x,,x,,x,,,,Whispers,,x,,,,,,,x,x,x,x,,x,x,x,x,x,,,,,x,x,x,,4,,,yes,yes,yes,no,,,,"no large bags, corridor, reading lamps, spacious, height adjustable chairs, bottled water only, air conditioned, "
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Assistive Technology Room,,"Located in a small, private, wood panelled room, the Assistive Technology Room offers ergonomic chairs, height adjustable desks and computers with assistive technology.",Anyone (public),Library space,University Library,"Cambridge University Library, West Road, Cambridge, CB3 9DR",First,52.204889,0.107888,09:00-19:00 (Monday-Friday); 09:00-17:00 (Saturday). Easter term: 09:00-21:00 (Monday-Friday); 09:00-17:00 (Saturday). Closed on Sunday.,yes,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",yes,http://www.lib.cam.ac.uk,1223 333016,@theUL,https://www.facebook.com/cambridgeuniversitylibrary,,,,,x,,x,,x,,x,,Strictly silent,x,,,,,,,,,,x,x,,x,x,x,x,x,,,,,x,x,x,,4,,,yes,yes,yes,no,,,,"no large bags, bottled water only, height adjustable tables, headphones, voice-recognition, art, ergonomic chairs, microphones, booth, few distractions, warm  "
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Fourth Floor Landing,,"One of the most historical looking parts of the library, populated with portraits of former UL librarians.  Dark, heavy furniture means that although there is plenty of natural light, it still feels cosy.  The space is not always available as it is occasionally used as meeting space by Library staff.",Anyone (public),Library space,University Library,"Cambridge University Library, West Road, Cambridge, CB3 9DR",Fourth,52.205202,0.108204,09:00-19:00 (Monday-Friday); 09:00-17:00 (Saturday). Easter term: 09:00-21:00 (Monday-Friday); 09:00-17:00 (Saturday). Closed on Sunday.,yes,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",yes,http://www.lib.cam.ac.uk,1223 333000,@theUL,https://www.facebook.com/cambridgeuniversitylibrary,,,,x,,x,,x,x,,,,Background chatter,,,x,,,,,,x,x,x,x,,,x,,x,x,,,,,,x,x,,4,,,yes,yes,yes,no,,,,"no large bags, art, bottled water only, large desks, "
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Lower Ground Floor,,"The quietest area of the library and despite being below ground level, ample natural light enters this floor at the right-hand side from the landscaped valley in which the central core building sits.",Anyone (public),Library space,Betty and Gordon Moore LIbrary,"Wilberforce Road, Cambridge CB3 0WD",Lower ground ,52.20972222,0.1066666667,09:00-21:00 (Monday-Friday); 09:00-17:00 (Monday-Friday outside Full Term); 09:00-13:00 (Saturday),no,,yes,http://www.lib.cam.ac.uk/BGML/index.html,01223 765670,,,,,,X,,,X,,,,X,,Whispers,,X,,,,,,x,x,,x,x,,x,x,x,,x,x,,,x,x,x,x,,,,,yes,yes,yes,yes,,,,"bottled water only, internet access, wireless, natural science tripos, inter-library loans, 24 hour opening, bookable study areas, photocopiers, computing facilities"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Ground Floor,,"The Ground floor is the main entrance, enquiry and staff area. As such, has limited study areas and is generally the noisest part of the library. Despite motion activated lighting can be quite a 'dark' area to work compared to the other floors.",Anyone (public),Library space,Betty and Gordon Moore LIbrary,"Wilberforce Road, Cambridge CB3 0WD",Lower ground,52.20972222,0.1066666667,09:00-21:00 (Monday-Friday); 09:00-17:00 (Monday-Friday outside Full Term); 09:00-13:00 (Saturday),no,,yes,http://www.lib.cam.ac.uk/BGML/index.html,01223 765670,,,,,,,x,,x,,,,x,,Animated discussion,,,x,,,,,x ,x,x,x,,x,x,x,x,x,x,,,x,,x,x,x,,,,,yes,yes,yes,no,,,,"bottled water only, internet access, wireless, natural science tripos, inter-library loans, 24 hour opening, bookable study areas, photocopiers, computing facilities"
