id,name,description,address,floor,lat,lng,restricted,restriction,disabled_access,url,phone_number,twitter_screen_name,facebook_url,atmosphere_disciplined,atmosphere_relaxed,atmosphere_historic,atmosphere_modern,atmosphere_inspiring,atmosphere_cosy,atmosphere_social,atmosphere_friendly,facility_food_drink,facility_daylight,facility_views,facility_large_desks,facility_free_wifi,facility_no_wifi,facility_computers,facility_laptops_allowed,facility_sockets,facility_signal,facility_printers_copiers,facility_whiteboards,facility_projector,facility_outdoor_seating,facility_bookable,facility_toilets,facility_refreshments,facility_break,expensive,created_at,updated_at,access_id,space_type_id,library_id,noise_id,work_private,work_close,work_friends,work_group,term_time_hours_id,out_of_term_hours_id,email_address,editors,facility_wheelchair_accessible,facility_blue_badge_parking,facility_accessible_toilets,facility_induction_loops,facility_adjustable_furniture,facility_individual_study_space,facility_gender_neutral_toilets,facility_bike_racks,facility_smoking_area,facility_baby_changing,facility_prayer_room,opentimes_before_9am,opentimes_after_7pm,opentimes_saturday,opentimes_sunday,booking_url
226,5 Blends Coffee House,"Warm and friendly environment, 5 blends of coffee to choose from and knowledgeable baristas to explain.  Small gallery seating downstairs in basement. Also pastries, sandwiches and paninis to eat in and take out.","42 Mill Road 
Cambridge
CB1 2AD",,52.201238,52.201238,f,,,,01223 355293,,,f,t,f,t,f,t,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,3,45:39.5,45:39.5,4,2,,5,f,t,t,f,2021,2022,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
14,Cambridge Public Library - 3rd Floor,"This floor has computer desks, community meeting rooms (at affordable rates) and a café.","7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",Second,52.204396,0.120511,f,,t,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,cambslib,pages/Central-Library-Cambridge/106156113195,t,f,f,t,f,f,f,f,f,f,f,t,t,f,t,t,f,t,t,f,f,f,f,t,f,f,,52:06.8,58:20.0,4,5,4,2,t,t,t,t,1159,1160,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
15,Cambridge Public Library - 1st Floor (Fiction) ,This is likely to be the busiest floor.,"7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",First,52.204396,0.120511,f,,t,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,cambslib,pages/Central-Library-Cambridge/106156113195,f,t,f,t,f,f,t,f,f,f,f,f,t,f,f,t,f,t,t,f,f,f,f,f,f,f,,52:06.9,00:44.5,4,5,4,3,t,t,f,f,1161,1162,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
227,Urban Larder,Little cafe and deli shop on Mill Road.,"9 The Broadway Mill Road, Cambridge CB1 3AH",,52.19803,0.143624,f,,,http://www.urbanlarder.coffee/,,UrbanLarder,Urban-Larder-207235242628815/,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,2,52:52.1,52:52.1,4,2,,5,f,t,f,f,2023,2024,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
13,Cambridge Public Library - 2nd Floor (Non-Fiction and Reference),"Brilliant for group study, but don't forget being a public library you are likely to get groups of A-Level & GSCE students working together here in peak college/school term.","7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",Third,52.204396,0.120511,f,,t,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,cambslib,pages/Central-Library-Cambridge/106156113195,f,t,f,t,f,f,t,f,f,t,t,t,t,f,t,t,f,t,t,f,f,f,f,t,t,t,,52:06.7,01:21.1,4,5,4,3,t,t,f,f,1163,1164,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
5,UL - North Front Corridor,Bookshelves work to form booths with large desks that seats two people. The desk faces the busy North Front walk way and is close to the Tea Room.,"Cambridge University Library, West Road, Cambridge, CB3 9DR",First,52.20507,0.10824,t,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",t,http://www.lib.cam.ac.uk,1223 333000,theUL,cambridgeuniversitylibrary,f,t,t,f,t,t,f,f,f,t,t,t,t,f,f,t,f,t,t,f,f,f,f,t,t,t,4,52:05.8,28:46.6,4,5,2,3,t,t,t,f,2097,2098,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
11,Moore Library - 1st Floor,Large quantity of study spaces with good views of the main site. A lot of natural light and generally fairly quiet place to work.,"Wilberforce Road, Cambridge CB3 0WD",1st Floor,52.210174,0.103238,t,Validated University card access outside staffed hours,t,http://moore.libraries.cam.ac.uk/,01223 765670,MooreLib,moorelib,t,f,f,t,t,t,f,f,t,t,t,t,t,f,t,t,t,t,t,t,f,t,f,t,t,t,,52:06.5,14:33.2,4,5,3,2,t,t,t,f,1827,1828,moore-library@lib.cam.ac.uk,sjg22@cam.ac.uk,t,f,t,f,f,f,t,f,f,f,f,,,,,
203,Novi,Coffee shop come cocktail bar. Really encourage that people use their space as an office.,"Novi, 12 Regent Street, Cambridge, CB2 1DB",,52.202004,0.124626,f,,,http://novicambridge.co.uk/,01223 518537,novicambridge,novicambridge,f,t,f,f,f,t,t,t,t,t,t,t,f,f,f,t,t,t,f,f,f,t,t,t,t,t,3,36:07.4,36:07.4,4,5,,5,f,t,t,t,1849,1850,mail@novicambridge.co.uk,,t,f,t,f,f,f,f,f,f,f,f,,,,,
8,UL - Fourth Floor Landing,"One of the most historical looking parts of the library, populated with portraits of former UL librarians.  Dark, heavy furniture means that although there is plenty of natural light, it still feels cosy.  The space is not always available as it is occasionally used as meeting space by Library staff.","Cambridge University Library, West Road, Cambridge, CB3 9DR",Fourth,52.20507,0.10824,t,"For information on how to access the UL, please see: http://www.lib.cam.ac.uk/plan-your-visit/admissions/who-can-use",t,http://www.lib.cam.ac.uk,1223 333000,theUL,cambridgeuniversitylibrary,t,f,t,f,t,t,f,f,f,t,t,t,t,f,f,t,f,t,t,f,f,f,f,f,t,t,4,52:06.1,15:16.1,4,5,2,3,t,t,t,f,2109,2110,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
20,Black Cat Café,A New Zealand style cafe focusing on preparing food made from good quality produce. The first flat white in Cambridge!,"2 The Broadway, Cambridge, CB1 3AH.",,52.197967,0.143246,f,,f,http://www.blackcatcafecambridge.co.uk/,01223 248 972,blackcatcafecam,blackcatcafecambridge,f,t,f,f,f,f,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,t,f,,52:07.3,31:33.1,4,2,,4,f,t,t,f,1165,1166,contact@blackcatcafecambridge.co.uk,,f,f,f,f,f,f,f,f,f,f,f,,,,,
